Herkunftsland ,Jänner ,Februar ,März ,April ,Mai ,Juni ,Juli ,August ,Summe: 
Afghanistan ,149,105,180,338,693,764,859,410,3498
Syrien ,50,22,35,29,112,122,91,136,597
Irak ,9,10,10,24,43,61,30,20,207
Somalia ,4,10,19,46,45,24,31,18,197
Pakistan ,12,2,10,19,39,32,35,47,196
Nigeria ,4,4,8,14,20,8,16,29,103
Algerien ,7,8,9,12,23,9,25,9,102
staatenlos ,3,3,2,10,12,15,3,5,53
Bangladesch ,,2,2,,7,1,11,22,45
Iran ,3,1,2,,2,11,16,6,41
Kosovo ,15,14,4,2,2,,2,,39
Marokko ,4,1,3,2,4,3,1,1,19
Gambia ,5,1,2,1,3,6,,1,19
Libyen ,,,3,3,2,,2,1,11
Vietnam ,4,,,3,,,3,,10
Sonstige ,7,6,9,15,10,9,17,16,89
Summe: ,276,189,298,518,1017,1065,1142,721,5226
