Jahr;Organisation;Betrag
2005;Akademisches Forum für Außenpolitik;0.00
2006;Akademisches Forum für Außenpolitik;28534.60
2007;Akademisches Forum für Außenpolitik;28534.60
2008;Akademisches Forum für Außenpolitik;29034.60
2009;Akademisches Forum für Außenpolitik;38034.60
2010;Akademisches Forum für Außenpolitik;38034.60
2011;Akademisches Forum für Außenpolitik;38034.60
2012;Akademisches Forum für Außenpolitik;38034.60
2013;Akademisches Forum für Außenpolitik;38034.60
2014;Akademisches Forum für Außenpolitik;81636.40
2015;Akademisches Forum für Außenpolitik;81636.40
2005;Aktion Kritischer Schüler;72672.80
2006;Aktion Kritischer Schüler;72672.80
2007;Aktion Kritischer Schüler;72672.40
2008;Aktion Kritischer Schüler;35980.21
2009;Aktion Kritischer Schüler;81672.40
2010;Aktion Kritischer Schüler;81672.80
2011;Aktion Kritischer Schüler;81672.80
2012;Aktion Kritischer Schüler;81672.80
2013;Aktion Kritischer Schüler;75619.87
2014;Aktion Kritischer Schüler;67095.99
2015;Aktion Kritischer Schüler;81672.80
2005;Alevitische Jugend Österreich;0.00
2006;Alevitische Jugend Österreich;0.00
2007;Alevitische Jugend Österreich;0.00
2008;Alevitische Jugend Österreich;0.00
2009;Alevitische Jugend Österreich;0.00
2010;Alevitische Jugend Österreich;0.00
2011;Alevitische Jugend Österreich;0.00
2012;Alevitische Jugend Österreich;38069.20
2013;Alevitische Jugend Österreich;38069.20
2014;Alevitische Jugend Österreich;38064.60
2015;Alevitische Jugend Österreich;38064.60
2005;Austrian Players League;0.00
2006;Austrian Players League;0.00
2007;Austrian Players League;0.00
2008;Austrian Players League;0.00
2009;Austrian Players League;0.00
2010;Austrian Players League;27288.92
2011;Austrian Players League;29068.60
2012;Austrian Players League;81672.40
2013;Austrian Players League;81672.40
2014;Austrian Players League;81672.80
2015;Austrian Players League;154345.60
2005;Bnei Akiva;14534.30
2006;Bnei Akiva;14534.30
2007;Bnei Akiva;14534.60
2008;Bnei Akiva;14534.60
2009;Bnei Akiva;23534.60
2010;Bnei Akiva;23534.60
2011;Bnei Akiva;23534.60
2012;Bnei Akiva;16267.30
2013;Bnei Akiva;16267.30
2014;Bnei Akiva;23534.60
2015;Bnei Akiva;23534.60
2005;Bund Europäischer Jugend Österr.;72672.80
2006;Bund Europäischer Jugend Österr.;145345.60
2007;Bund Europäischer Jugend Österr.;145345.60
2008;Bund Europäischer Jugend Österr.;290700.30
2009;Bund Europäischer Jugend Österr.;299700.30
2010;Bund Europäischer Jugend Österr.;299691.40
2011;Bund Europäischer Jugend Österr.;299691.40
2012;Bund Europäischer Jugend Österr.;299691.40
2013;Bund Europäischer Jugend Österr.;299691.40
2014;Bund Europäischer Jugend Österr.;299691.40
2015;Bund Europäischer Jugend Österr.;299691.40
2005;Evangelisches Jugendwerk in Österr.;145345.60
2006;Evangelisches Jugendwerk in Österr.;145345.60
2007;Evangelisches Jugendwerk in Österr.;145345.60
2008;Evangelisches Jugendwerk in Österr.;145345.60
2009;Evangelisches Jugendwerk in Österr.;152601.45
2010;Evangelisches Jugendwerk in Österr.;154345.60
2011;Evangelisches Jugendwerk in Österr.;154345.60
2012;Evangelisches Jugendwerk in Österr.;299691.30
2013;Evangelisches Jugendwerk in Österr.;299691.30
2014;Evangelisches Jugendwerk in Österr.;299691.30
2015;Evangelisches Jugendwerk in Österr.;299691.29
2005;Haschomer Hazair;14534.60
2006;Haschomer Hazair;14534.60
2007;Haschomer Hazair;14534.60
2008;Haschomer Hazair;14534.60
2009;Haschomer Hazair;23534.60
2010;Haschomer Hazair;23534.60
2011;Haschomer Hazair;23534.60
2012;Haschomer Hazair;23534.60
2013;Haschomer Hazair;23534.60
2014;Haschomer Hazair;23534.60
2015;Haschomer Hazair;23534.60
2005;Jad Bejad;0.00
2006;Jad Bejad;0.00
2007;Jad Bejad;0.00
2008;Jad Bejad;0.00
2009;Jad Bejad;0.00
2010;Jad Bejad;6750.00
2011;Jad Bejad;14534.60
2012;Jad Bejad;0.00
2013;Jad Bejad;14467.30
2014;Jad Bejad;0
2015;Jad Bejad;14534.60
2005;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);0.00
2006;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);109009.30
2007;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);58138.30
2008;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);58138.30
2009;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);159880.30
2010;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);118009.30
2011;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);118009.30
2012;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);118009.30
2013;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);118009.30
2014;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);0.00
2015;Jugendpol. Think Tank PROGRESS AUSTRIA (bis inkl. 2013 - Generation Zukunft Österreich);38069.20
2005;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);109009.30
2006;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);109009.30
2007;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);159880.30
2008;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);159880.30
2009;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);118009.30
2010;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);118009.30
2011;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);118009.30
2012;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);118009.30
2013;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);118009.30
2014;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);168880.3
2015;Junge Grüne/Junge Alternative (bis inkl. 2010 - Plattform grünalternative Jugendorganisationen - Grünalternative Jugend Österreich);168880.30
2005;Junge Liberale NEOS - JUNOS;0.00
2006;Junge Liberale NEOS - JUNOS;0.00
2007;Junge Liberale NEOS - JUNOS;0.00
2008;Junge Liberale NEOS - JUNOS;0.00
2009;Junge Liberale NEOS - JUNOS;0.00
2010;Junge Liberale NEOS - JUNOS;0.00
2011;Junge Liberale NEOS - JUNOS;0.00
2012;Junge Liberale NEOS - JUNOS;0.00
2013;Junge Liberale NEOS - JUNOS;0.00
2014;Junge Liberale NEOS - JUNOS;67138.3
2015;Junge Liberale NEOS - JUNOS;67138.30
2005;Junge ÖVP;479641.00
2006;Junge ÖVP;479641.00
2007;Junge ÖVP;436037.30
2008;Junge ÖVP;436037.30
2009;Junge ÖVP;394166.30
2010;Junge ÖVP;394166.30
