Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
24 Stunden ­ Das Unfallkommando;MABON Film GmbH;201248;40000;;;ATV;7x48;2012;"Die Unfallkommandos, die im Mittelpunkt dieser Dokumentation stehen, sind für Verkehrsunfälle zuständig, bei denen Fremdverschulden vorliegen könnte. Dazu zählen Unfälle im Straßenverkehr, in öffentlichen Verkehrsmitteln oder in U-Bahnen. Die Polizisten des Unfallkommandos sind die Kriminalisten der Straße. Sie rekonstruieren Unfallhergänge, vernehmen Zeugen, suchen Spuren, markieren, fotografieren und stellen Fahrzeuge sicher, um den Unfallhergang zweifelsfrei zu klären. Dies ist oft schwierig. Denn häufig widersprechen sich die Aussagen der Beteiligten und Zeugenaussagen sind nicht immer eindeutig. Die Dokumentation gibt einen Einblick in das tägliche Verkehrschaos und die teilweise katastrophalen Folgen bei menschlichem Fehlverhalten.";"The documentary focuses on traffic accident squads responsible for investigating traffic incidents that may have been caused by third parties. This includes incidents in road traffic, public transportation and underground railways. The officers on the traffic accident squads are the detectives of the road. They reconstruct accidents, collect testimony, search for clues as well as mark, photograph and secure vehicles, with the aim of clarifying the cause beyond a shadow of doubt ­ often a difficult task. Frequently those involved contradict each other, and eye-witness testimony is not always unequivocal. The documentary gives insights into the daily chaos of traffic and the sometimes disastrous consequences of human error."
24 Stunden ­ Die Lebensretter;ON-MEDIA TV- und Filmproduktion GmbH;139736;27000;;;ATV;4x48;2012;"Weit über 500 Einsatzkräfte von Rettungsorganisationen leisten Tag für Tag ihren Dienst an den Menschen der Großstadt. Etwa 700 Einsätze sind es täglich, die Aufgaben vielfältig, spannend und zum Teil auch nervenaufreibend. Die Rettung verspricht an jedem Ort der Stadt in maximal zwölf Minuten zu sein. Viele Einsätze sind Routine, die Einsatzkräfte müssen aber jeden Moment bereit sein, alles zu geben. Ein Kamerateam begleitet mehrere Einsatzteams, die aus drei Sanitätern bestehen. Der Dienstplan eines Sanitäters sieht einen 24-Stunden-Dienst vor. Nichts für schwache Gemüter: Schlägereien, Aggression und übermäßiger Alkoholkonsum sind nur einige Herausforderungen für die Helfer.";"Each day more than 500 members of emergency medical organisations are on duty in the service of urban residents. In about 700 daily calls, personnel face a wide variety of interesting tasks, some of them even nerve-racking. Ambulance teams pledge to be at any location in the city within 12 minutes at most. While many calls are routine, personnel have to be prepared to always give their all at any given moment. A camera crew follows several emergency teams, each consisting of three medics. Medics have a schedule of 24-hour shifts. Nothing for the feint-hearted: fist fights, aggressive behaviour and excessive drinking are just some of the challenges that face emergency personnel."
24 Stunden ­ Die Motorradpolizei;MABON FILM GmbH;212012;28262;;;ATV;7x48;2012;"Die Abteilung der Verkehrspolizei hat je nach Einsatz und Wetterlage Motorräder im Einsatz. In sieben Folgen wird ""die Motorradpolizei"" rund um die Uhr bei zahlreichen Einsätzen begleitet. Der Aufgabenbereich ist vielfältig: Neben der Fahndung nach Schnellfahrern und alkoholisierten Fahrzeuglenkern, Unfällen und Verkehrsdelikten sind die Motorradpolizisten auch für den Schutz von hochkarätigen Staatsgästen mitverantwortlich. In wochenlanger Vorarbeit werden die Schutzmaßnahmen für hohe Besuche genauestens geplant, um potenzielle Gefahren zu vermeiden. Die Polizisten riskieren dafür täglich ihr Leben, um die Bevölkerung zu schützen ­ nicht nur vor rücksichtslosen Autofahrern.";"Depending on the type of duty and the weather, traffic police also makes use of motorcycles. The series of seven sequels follows motorcycle police around the clock on numerous calls. Duties are highly varied and include seeking out speeders and drunk drivers, accidents, and minor traffic offences, while motorcycle police also share in the responsibility of protecting prominent visitors of state. The measures to ensure the safety of important visitors are planned in exact detail weeks in advance in order to avoid any potential risk. The police officers actually risk their lives on a daily basis to protect the p opulation ­ and not just from inconsiderate drivers."
24 Stunden ­ Die Polizei im Einsatz;HANN Filmproduktionsgesellschaft m.b.H.;179876;25000;;;ATV;6x48;2011;"Die Doku-Reihe gibt dem Zuseher Einblicke in den Alltag der Wasserpolizei und soll durch die realistische Darstellung der Arbeit auch zu einem besseren Verständnis über die anspruchsvolle Arbeit der Polizei beitragen. Denn die Aufgaben der Wasserpolizei sind vielfältig: sie reichen von Kontrollen und Einsätzen auf Seen und Flüssen mit Güter- und Personenverkehr, über Tatortarbeit bei Einbrüchen und Gewaltverbrechen bis zum Umgang mit Prostituierten, Schmugglern und Menschenhändlern. Zusätzlich wird die Einheit österreichweit bei Sucheinsätzen im Rahmen von Wasserunfällen zu Hilfe geholt.";"The documentary series gives viewers an insight into the day-to-day responsibilities of the waterways police force and contribute to a better appreciation of this challenging police work by offering a realistic perspective of the tasks involved. The waterways police force do in fact have a variety of responsibilities, including inspections and aid to freight shipping and passenger transport ships on lakes and rivers, investigating break-ins and violent crime, and dealing with prostitutes, smugglers and human traffickers. The unit is also involved in search and rescue operations in response to accidents on waterways throughout Austria."
24 Stunden ­ Soko Ost;HANN Filmproduktionsgesellschaft m.b.H.;123652;20000;;;ATV;4x48;2012;"Die Aufgaben der SOKO Ost sind vielfältig: sie reichen von Kontrollen und Einsätzen im Güter- und Personenverkehr über Schutz der Schengengrenzen und dem Kampf gegen Schmuggler und Menschenhändler. Die Teams der SOKO Ost werden nicht als überhöhte Helden dargestellt, sondern als Spezialeinheit mit all ihren Herausforderungen, mentalen und physischen Belastungen. Bei einem Großeinsatz in Wien werden beispielsweise von 600 Einsatzkräften sämtliche Fahrzeuge und ihre Insassen auf Fahrtauglichkeit, Menschenschmuggel, Finanzdelikte, Diebstahl und Drogenhandel überprüft. Der Einblick in den Alltag der Sonderkommission trägt damit auch zu einem besseren Verständnis der anspruchsvollen Arbeit der Polizei bei.";"SOKO Ost (Special Investigation Unit East) has a variety of responsibilities, including the inspection of shipping and passenger transport, guarding the Schengen borders, and combating smugglers and human traffickers. The SOKO Ost squads are not depicted as heroes but as special units who face a multitude of challenges as well as physical and mental stress. During one major operation in Vienna for instance, 600 officers inspected every vehicle and all passengers, to verify vehicle safety and to identify any cases of human trafficking, fiscal offences, and theft or drug trafficking. In this way, the insight into the dayto-day tasks of the special unit contributes to a better appreciation of this demanding police work."
24 Stunden Polizei ­ Leben auf der Autobahn;HANN Filmproduktionsgesellschaft m.b.H.;198857;39000;;;ATV;6x46;2013;"Die Serie beleuchtet die Tätigkeiten von Menschen, die auf der Autobahn arbeiten. Dazu zählen neben LKW-Fahrern besonders Mitarbeiter der ASFINAG und der Polizei. Es wird gezeigt, wie viel Arbeit hinter einem funktionierenden Autobahn- und Schnellstraßennetz steckt. Ausbau und Instandhaltung bei einem ständig steigenden Verkehrsaufkommen und erhöhten Ansprüchen an Sicherheit und Komfort auf einer Länge von rund 2.178 km erfordern tägliche Leistungen. Dazu kommen unzählige Tunnel und Brücken, modernste Verkehrsanlagen und Serviceeinrichtungen, die jederzeit funktionieren müssen, damit die Fahrzeuge mit über 26 Mrd. Kilometer Fahrleistung pro Jahr sicher und schnell ihr Ziel erreichen.";"The series portrays the job activities of people who work on motorways. Besides truckers this group includes employees of the ASFINAG motorway authority and the police. It is seen how much work is involved in a functioning network of motorways and highways. With the volume of traffic increasing steadily and standards of safety and comfort rising, daily effort is required to maintain and expand these roadways, encompassing some 2,178 km. The network also includes countless tunnels and bridges, advanced traffic signalling systems and service facilities that must function 24/7 to ensure that the vehicles cover the more than 26 billion kilometres each year to safely and efficiently reach their destinations."
90 Jahre Burgenland ­ Von Deutsch West-Ungarn zum Burgenland;PAMMER FILM E.U.;75645;15140;Land Niederösterreich,Land Burgenland;;ORF;45;2011;"Im Herbst 1921 wird der größte Teil Deutsch West-Ungarns endgültig in die österreichische Verwaltung übernommen. 1919 war das Gebiet durch den Vertrag von St. Germain Österreich zugesprochen worden; 1920 tritt Ungarn seine westlichste Region ab. Der Einmarsch der österreichischen Gendarmerie stößt aber auf heftige Gegenwehr ungarischer Freischärler. Letztlich schließen Österreich und Ungarn einen Kompromiss: Ungarn sorgt für den Abzug der bewaffneten Einheiten; Österreich willigt in die Abhaltung einer Volksabstimmung in Ödenburg ein. In dieser Dokumentation kommen Historiker und die letzten Zeitzeugen, die sich an die Turbulenzen rund um die Entstehung des jüngsten österreichischen Bundeslandes erinnern können, zu Wort.";"The majority of German West Hungary was finally placed under Austrian administration in the autumn of 1921. The territory had been awarded to Austria by the Treaty of Saint-Germain-en-Laye in 1919, and Hungary ceded its westernmost region in 1920. When the Austrian civil guard marched in, however, they encountered significant resistance from Hungarian irregulars. Austria and Hungary reached a compromise in the end: Hungary promised to withdraw the armed troops in exchange for Austria's consent to a referendum in the city of Ödenburg/Sopron. The documentary presents interviews with historians as well as with the last eyewitnesses able to recount the turmoil surrounding the birth of Austria's youngest federal state."
900 Jahre Klosterneuburg;Felix Breisach Medienwerkstatt GmbH;177393;35479;Land Niederösterreich;;ORF;52;2013;"Der Jahrestag der Gründung von Stift Klosterneuburg jährt sich im Jahre 2014 zum 900. Mal. Die Dokumentation beschreibt Klosterneuburg als einen überaus wichtigen Vertreter für soziales, kulturelles und wirtschaftliches Wirken innerhalb Österreichs. Klosterneuburgs Kulturschätze sind von hohem kulturellem Wert und haben weit über die Grenzen hinaus Bedeutung. Das Stift Klosterneuburg ist in jeder Hinsicht ein Juwel Österreichs und Europas, das in den kulturpolitischen wie gesellschaftspolitischen Entwicklungen Österreichs immer eine wichtige Rolle eingenommen hat.";"2014 marks the 900th anniversary of the founding of the monastery at Klosterneuburg. The documentary portrays Klosterneuburg in its role within Austria as a highly prominent agent of social, cultural and business activity. The valuable treasures kept at Klosterneuburg have a very high cultural significance that extends far beyond Austria's borders. Both within Austria and Europe, Klosterneuburg Monastery is in every respect a gem that has consistently played a central role in developments related to Austria's cultural and social policies."
Adolf Hitler ­ mein Großvater?;PRE TV Gesellschaft für Film- und VideoProduktion m.b.H.;434815;75000;CNC;Programm 33,ORTV International limited;France 5,Channel 4,Puls 4,Planète France,rtbf;52;2013;"""Adolf Hitler ist euer Großvater"": Elisabeth Loret ist 20 Jahre alt, als ihr Vater Jean-Marie Loret dieses Familiengeheimnis enthüllt. Der Dokumentarfilm ist eine historische Untersuchung über drei Generationen. Gespräche mit Historikern, Überprüfung der Chronologie, Erinnerungen und Dokumente werden zusammengetragen, um das Familienpuzzle zu rekonstruieren. Aber es ist die genetische Analyse, die es ermöglichen wird, die Zweifel aus dem Weg zu räumen. Anhand der DNA ist es auch möglich, die populationsgenetische Abstammung Adolf Hitlers zu klären und damit auch das ideologische Konzept der Menschenrassen mit wissenschaftlichen Methoden ad absurdum zu führen.";"""Adolf Hitler is your grandfather"": Elisabeth Loret is 20 years old when her father Jean-Marie Loret reveals this family secret to her. The documentary film is an historical investigation covering three generations. To reconstruct the family puzzle, pieces are collected, including interviews with historians, a study of the chronology, memoirs and documents. Yet the genetic analysis is the key that makes it possible to erase all doubt. And DNA also makes it possible to clarify Adolf Hitler's ancestry in terms of population genetics, thereby taking the ideological concept of human races to the point of absurdity with the aid of scientific methods."
Aftermath ­ Die zweite Flut;Golden Girls Filmproduktion und Filmservices GmbH;192928;24000;FFW,Irish Film Board;Two Pairs Film Limited;ORF;52/90;2009;"Nach den Zerstörungen durch die verheerende Flutwelle des Tsunami Ende 2004 wurden die Bewohner der Nikobaren, einer Inselgruppe im Indischen Ozean, vor eine weitere Herausforderung gestellt: Das indigene Volk der Nikobaresen, das über die letzten 900 Jahre hinweg fast ohne Kontakt zur Außenwelt gelebt hatte, wurde von Dutzenden NGOs überschwemmt und schlagartig mit der ihnen unbekannten globalisierten Welt konfrontiert. Heute sind die NGOs abgezogen, das Geld ist verbraucht. Die Nikobaresen machen sich auf die Suche nach einer neuen Identität und ihrer eigenen Zukunft.";"In the aftermath of the devastating tsunami in late 2004, the inhabitants of the Nicobar Islands, a group of island in the Indian Ocean, were confronted with yet another challenge. The indigenous Nicobarese population, who had not had much contact to the outside world over the preceding 900 years, was flooded by dozens of NGOs and had to suddenly face the globalised world, which had been completely unknown to them up to that time. Today the NGOs have left the islands, with all the aid funds used up. The Nicobarese people are embarking on a quest for a new identity and their own future."
