Titel;Produzent;Gesamtherstellungskosten (EUR);Fernsehfonds Austria (EUR);Förderinstitutionen;Ko-Produzenten;Fernsehsender;Länge (Min.);Jahr;Beschreibung (de);Beschreibung (en)
Akte Grüninger;MAKIDO Filmproduktion GmbH;2953930;450000;BAK,St. Gallische Kulturstiftung,Zürcher Filmstiftung,Teleproduktionsfonds,Cine Tirol,Land Vorarlberg;C-Films AG;SF;90;2012;"Im August 1938 schließt die Schweiz ihre Grenze für jüdische Flüchtlinge. Doch nicht alle Beamten halten sich an die Weisung, die Hilfsbedürftigen zurückzuschicken. Paul Grüninger (1891­1972) nützt bürokratische Lücken und setzt aus moralischer Überzeugung alles aufs Spiel. Die Politik lässt ihn daraufhin fallen ­ Grüninger wird als Polizeihauptmann abgesetzt, das Bezirksgericht verurteilt ihn zu einer Geldstrafe. 32 Jahre später ehrt ihn Israel als ""Gerechten der Völker"". Bald danach, am 22. Februar 1972, stirbt Paul Grüninger im Alter von 80 Jahren, vereinsamt und verarmt. Er ist zu Recht als ""Oskar Schindler"" im Grenzgebiet zwischen Deutschland und der Schweiz in die Geschichte eingegangen: Er rettete 3.000 Menschen das Leben.";"August 1938: Switzerland closes its borders to Jewish refugees. Yet not all officers obey the order to turn back these people in need of help. Risking everything out of moral conviction, Paul Grüninger (1891­1972) takes advantage of bureaucratic loopholes. Government officials turn their backs on him, and Grüninger is dismissed as police captain and fined by a magistrates' court. 32 years later Israel honours him as one of the ""Righteous Among the Nations"". Paul Grüninger dies a short time later, a lonely and destitute man of 80. Having saved the lives of 3,000 people, Grüninger has rightly gone down in history as Switzerland's ""Oskar Schindler"" at the German border."
Alles außer Liebe;MONA Film Produktion GmbH;1885437;376880;land Salzburg;;ARD,ORF;90;2011;"Um seine Eroberung, die 26-jährige Emma, zu beeindrucken, mietet der 60-jährige Promiarzt Toni eine Villa in Salzburg. Dort angekommen stellen sie fest, dass das Haus versehentlich an Julia, 59, und ihren Vater vermietet wurde. Toni und Julia beschließen, die Villa gemeinsam zu nutzen, Konflikte bleiben unausweichlich. Als Julias Vater die Situation mit einem Ausflug beruhigen will, werden sie alle Zeuge, wie der attraktive Alexander einen Unfall hat. Toni rettet ihm das Leben. Als Dankeschön lädt Alexander alle in sein Restaurant ein. Nach einigen Verwicklungen ­ Emma interessiert sich für Alexander und Toni nähert sich Julia ­ muss sich Toni letztlich zwischen Emma und Julia entscheiden.";"As a way of impressing his conquest, 26-year-old Emma, the prominent doctor Toni (60) rents a villa in Salzburg. They arrive at the villa only to discover that it has been mistakenly let to 59-year-old Julia and her father as well. When Toni and Julia agree to share the villa, conflicts become inevitable. Julia's father, wishing to placate the situation, suggests an excursion, during which they are witnesses to an accident involving the handsome Alexander, whose life Toni saves. In a show of gratitude, Alexander invites everyone to his restaurant. Complications ensue: Emma becomes interested in Alexander and Toni is attracted to Julia; Toni must ultimately choose between the two women."
Alles Fleisch ist Gras;ALLEGRO Filmproduktionsges.m.b.H.;1748312;500515;Land Vorarlberg;;ORF;90;2013;"Durch einen Sturz über die Stiege stirbt Roland Mathis, der widerwärtige Schnüffler, der Anton Galba und seine heimliche Geliebte mit ihrem Verhältnis erpresst hatte. In Panik lässt Galba, Leiter der Abwasserreinigungsanlage Dornbirn, die Leiche im Häcksler verschwinden ­ Fleisch wird zu Gras. Der den Fall untersuchende Polizist Nathanael Weiß verdächtigt Galba von Anfang an. Allerdings gibt es auch in seinem Umfeld einen Widerling, den er gerne loswerden würde. Galba muss notgedrungen mitmachen, doch für Weiß ist das erst der Anfang.";"Roland Mathis, an obnoxious snoop, threatens to expose the secret affair between Anton Galba and his lover ­ but then stumbles down the stairs and dies. Galba, who manages the city sewage treatment plant at Dornbirn, panics and disposes of the body in a waste shredder: flesh becomes grass. Police inspector Nathanael Weiß, assigned to the case, suspects Galga early on. But there is also another creep Weiß would love to get rid of. Galba has no choice but to consent, yet for Weiß it is just the beginning."
Angélique;MONA Film Produktion GmbH;15616829;728246;Wallimage,Land Niederösterreich;A.J.O.Z FILMS,CLIMAX FILMS;Canal+,France 3 Cinema,Cine+,TV Belgien,ORF;120;2012;"Frankreich zu Lebzeiten von König Ludwig XIV., dem Sonnenkönig: Die junge und bildhübsche Angélique wird von ihrem Vater, einem verarmten Baron, an den reichen, aber unansehnlichen Grafen de Peyrac ""verkauft"". Nach anfänglichen Schwierigkeiten der freiheitsliebenden Angélique schafft es de Peyrac mit seinem Charme und seiner Intelligenz, ihr Herz zu gewinnen. Sie genießen ihr märchenhaftes Leben im Süden Frankreichs, doch über ihnen schwebt die Gefahr eines Geheimnisses, das Angélique seit Jahren mit sich trägt und schließlich auch das Leben von de Peyrac und ihren beiden Kindern für immer verändern wird. Sie war im Schloss ihres Onkels ungewollt Zeugin eines geplanten Komplotts einiger hoher Adliger gegen den König ­ und Angélique wurde entdeckt.";"France during the reign of Louis XIV, known as the Sun King: Angélique, the young pretty daughter of an impoverished baron, is `sold' by her father to the wealthy but unattractive Comte de Peyrac. At first Angélique with her love of freedom resists him, but finally de Peyrac succeeds in winning her affections through charm and intelligence. Enjoying a fairy-tale life in southern France, their bliss is threatened by a secret that Angélique has been keeping to herself for many years, one that could change forever the lives of her husband de Peyrac and their two children. At her uncle's palace, Angélique was discovered as she unwillingly witnessed how members of the high nobility plotted against the king."
Aschenputtel;SK-Film- und Fernsehproduktionsgesellschaft m.b.H;1508684;300000;Land Niederösterreich;Neue PROVOBIS Filmproduktion GmbH;ZDF;80;2010;"Märchenverfilmung nach den Gebrüdern Grimm. Nach dem Tod der Mutter wird Marie von ihrer neuen Stiefmutter und deren Tochter wie ein Aschen puttel behandelt. Prinz Leonhard muss heiraten, um den Thron des Königreichs zu erben. Er sucht eine Frau, die ihn um seiner selbst willen liebt und lädt auch Marie zu einem Maskenfest ein. Der Haselnussbaum am Grab ihrer Mutter schenkt Aschenputtel ein wunderschönes Kleid und ein Zauberpferd bringt sie zum Schloss. Sie begegnet dem Prinzen und eine große Liebe beginnt. Doch viele Hindernisse und böse Intrigen stellen sich den Liebenden in den Weg.";"Movie version of a Grimms' fairy tale. After her mother's death, Marie is treated like a Cinderella ­ a kitchen maid ­ by her new stepmother and stepsister. Prince Leonhard, required to marry in order to inherit the throne, seeks a wife who will love him for himself. Marie is included in his invitation to a masquerade ball. The hazelnut tree at her mother's grave presents Marie with a stunning gown, and a magic steed bears her to the castle. She meets the prince and a great romance begins. Yet the path of true love is beset with many obstacles and evil intrigue."
Auf der Spur des Löwen;MONA Film Produktion GmbH;1752225;300000;;Tivoli Film Produktion GmbH,Two Oceans Production Ltd.;ZDF,ORF;90;2011;"Eleonore Krämer lebt ein geregeltes Leben als Kinderbuchillustratorin. Ihr Zuhause verlässt sie kaum. Menschen verunsichern sie; Kinder meidet sie. Nur mit ihrem Bruder Fred, Missionar in einem Kinderheim in Südafrika, verbindet sie eine innige Beziehung. Doch die Vorstellung, mit fremden Menschen auf engstem Raum eingeschlossen zu sein, machte eine Flugreise zu ihm bisher unmöglich. Als Eleonore erfährt, dass ihr Bruder im Sterben liegt, überwindet sie sich und begibt sich nach Südafrika. Max Reimann, ein Freund und Mitarbeiter Freds, begleitet sie. In Südafrika wird sie gnadenlos mit all dem konfrontiert, was sie am meisten fürchtet: mangelnde Hygiene und gefühls betonte Menschen.";"A children's book illustrator, Eleonore Krämer has her daily routine. She hardly ever leaves her home. She feels insecure with people and avoids children. Her brother Fred, a missionary at a children's home in South Africa, is the only one she feels close to. Yet the mere thought of being trapped in a plane with strangers has kept her from ever visiting him. Learning that her brother is close to death, she gives herself a shove and travels to South Africa, accompanied by Max Reimann, a friend and co-worker of Fred's. In South Africa she is mercilessly confronted with her worst fears: poor hygiene and people who show their feelings."
Bauernopfer;Dor Film-Produktionsgesellschaft m.b.H.;1876605;375321;Land Niederösterreich;;SWR,Orf;88;2010;"Der Biobauer Andi Gruber gerät unter Verdacht, seinen Rindern verseuchtes Futter verabreicht zu haben. Als sich nach Blutproben der Verdacht bestätigt und Andis Rinder daraufhin notgeschlachtet werden, steht nicht nur seine Existenz auf dem Spiel, sondern auch seine Ehre. Auf sich allein gestellt, beschließt er herauszufinden, wie es zu dieser Manipulation an seinen Rindern kommen konnte. Gemeinsam mit der Wissenschaftlerin Silvie deckt er dabei ein Komplott auf, das weit über die Grenzen des kleinen Dorfes hinausgeht.";"Andi Gruber is an organic farmer who is suspected of giving his cattle contaminated feed. When blood tests verify these suspicions, Andi's cattle are ordered slaughtered, putting both his livelihood and reputation at stake. Left to his own devices, he determines to find out the truth behind what happened to his cattle. With the aid of Silvie, a scientist, he discovers a conspiracy that reaches far beyond the confines of his little village."
Blutsschwestern;Lotus-Film Gesellschaft m.b.H.;1835118;400000;CineStyria;;ZDF,ORF;88;2013;"Es hätten zwei schöne Tage für Charly werden können: nach Jahren wieder zusammen mit ihren Freundinnen Rita, Ingrid, Sonja und Manu in einem einsam gelegenen Jagdhaus. Doch dann macht Rita mit ein paar Worten Charlys frisches Liebesglück zunichte, und bald darauf ist Rita tot ­ erschossen. Ein Unwetter und fehlender Handyempfang machen es unmöglich, Hilfe zu holen. Die Frauen sitzen fest, und da draußen im Wald ist irgendwo ein Mörder. Oder ist es eine von ihnen gewesen? Wie sich herausstellt, hat jede der Freundinnen ein Mordmotiv, aber das beste hat Charly selbst... ";"For Charly, it could have been two wonderful days: relaxing in a remote hunting lodge with Rita, Ingrid, Sonja and Manu, friends Charly has not seen for years. Yet Rita, after dashing Charly's hopes of a happy relationship with just a few words, is soon discovered ­ shot to death. A thunderstorm blocks phone reception, making it impossible to call for help. The young women are trapped in the woods with a killer lurking about. Or is the murderer among them? While each had a motive for the deed, Charly's is in fact the most compelling one of all..."
Bollywood lässt Alpen glühen;FILM27 Multimedia Produktions GmbH;1745160;331734;CINESTYRIA,FFW;Phoenix Film Karlheinz Brunnemann GmbH & Co. Produktions KG;Sat.1,ORF;90;2010;"Franzi hat als Managerin im Filmgeschäft Karriere gemacht. Als sie für eine Bollywood-Produktion in ihr Heimatdorf zurückkommt, erkennt sie, dass sie doch nicht nur die skrupellose Karrierefrau ist, sondern dass ihr auch Tradition und Familie immer noch viel bedeuten ­ und auch ihr Ex-Freund Bruno. Während drei Kulturen ­ die österreichisch/ländliche, die deutsche/geschäftliche und die indisch/exotische ­ teils humorvoll, teils mit Wucht aufeinander prallen, findet Bruno wieder zu Franzi.";"Franzi has a successful career as a manager in the film business. A Bollywood production leads her back to her native village, where she realises that, although she has become an unscrupulous career woman, her family and traditions still mean a lot to her ­ as does her ex-boyfriend Bruno. In the midst of a clash of three cultures ­ rural Austrian, German business and exotic Indian culture ­ with both humorous and serious repercussions, Bruno and Franzi are reunited."
Buschpiloten küsst man nicht;Dor Film-Produktionsgesellschaft m.b.H.;1689791;300000;;Dor Film Köln GmbH;Sat.1,ORF;93;2010;"Die junge Ärztin Dr. Maria Berkel ist auf dem Weg zu ihrem neuen Job im Krankenhaus des kleinen afrikanischen Dorfes Somabhula. Sie lernt den aus Österreich stammenden Piloten Paul Freytag kennen, der mit seiner Cessna Transportaufträge aller Art entgegennimmt. Paul bringt Maria von Johannes burg in das Dorf. Maria wird von den Dorfbewohnern zuerst abgelehnt, gewinnt aber mit Hilfe der alten Heilerin N´nanga langsam das Vertrauen. Denn immer mehr Menschen in Somabhula werden krank. Maria ist überzeugt, dass verseuchtes Wasser daran schuld ist, beginnt nachzuforschen und gerät in große Gefahr. Auch Paul wird gegen seinen Willen in die Geschichte verwickelt.";"Dr. Maria Berkel is a young physician on her way to her new job at the hospital in Somabhula, a tiny village in Africa. She meets Paul Freytag, a pilot originally from Austria who with his Cessna takes on all sorts of freight jobs. Paul flies Maria from Johannesburg to the village. Rejected by the villagers at first, Maria gradually wins their trust with the help of N´nanga, an elderly medicine woman. When an increasing number of the village inhabitants fall ill, Maria becomes convinced that contaminated water is to blame, and on investigating faces serious danger. Paul unwillingly becomes involved in the plot as well."
