Kulturschutzgut;Bundesland;Politischer Bezirk;Gemeinde;Kastralgemeinde;UTM;Lat;Long
Denkmalanlage Stift Reichersberg;Oberösterreich;Ried im Innkreis ;Reichersberg ;Reichersberg (46027) ;UTM 33 ;378534,00 ;5355147,00 
Denkmalanlage Schloss Schallaburg;Niederösterreich;Melk;Schollach;Schallaburg (14160);UTM 33;526471,00;5337346,00
Ensemble Dornbirn;Vorarlberg;Dornbirn ;Dornbirn ;Dornbirn (92001) ;UTM 32 ;555963,10 ;5251400,40 
Denkmalanlage Stift Zwettl;Niederösterreich;Zwettl ;Zwettl- Niederösterreich ;Zwettl Stift (24393) ;UTM 33 ;514949,00 ;5384946,00 
Schöngrabern;Niederösterreich;Hollabrunn ;Grabern;Schöngrabern (09049) ;UTM 33 ;578493,00 ;5383760,00 
Ensemble Gmünd;Kärnten;Spittal an der Drau ;Gmünd in Kärnten ;Gmünd (73004) ;UTM 33 ;388489,43 ;5195878,96 
Denkmalanlage Stift Rein;Steiermark;Graz- Umgebung ;Gratwein- Straß engel ;Eisbach (63212) ;UTM 33 ;521589,00 ;5220216,00 
Ensemble Innsbruck;Tirol;Innsbruck (Statutarstadt) ;Innsbruck (Statutarstadt) ;Innsbruck (81113) ;UTM 32 ;681173,00 ;5237940,00 
Denkmalanlage Basilika Sonntagberg;Niederösterreich;Amstetten ;Sonntagberg ;Sonntagberg (03324) ;UTM 33 ;482292,00 ;5315912,00 
Ensemble Klagenfurt;Kärnten;Klagenfurt (Statutarstadt) ;Klagenfurt (Statutarstadt) ;Klagenfurt (72127) ;UTM 33 ;447019,12 ;5163763,56
Ensemble Berndorf;Niederösterreich;Baden ;Berndorf ;Berndorf I (04302) ;UTM 33 ;582574,00 ;5310738,00 
Denkmalanlage Stift-Gurk;Kärnten;Sankt Veit an der Glan ;Gurk ;Gurk (74406) ;UTM 33 ;446168,45 ;5191507,04 
Ensemble Hallein Altstadt;Salzburg;Hallein ;Hallein ;Hallein (56209) ;UTM 33 ;356959,80 ;5282721,90 
Ensemble Krems an der Donau;Niederösterreich;Krems an der Donau (Statutarstadt) ;Krems an der Donau (Statutarstadt) ;Stein (12132) ;UTM 33 ;543091,00 ;5361213,00 
Ensemble Bregenz;Vorarlberg;Bregenz ;Bregenz ;Bregenz (91103) ;UTM 32 ;556263,30 ;5261136,70 
Denkmalanlage Wien XIV;Wien;Wien XIV - Penzing ;Wien ;Hütteldorf (01206) ;UTM 33 ;594999.75 ;5340505.55 
Denkmalanlage Stift Schlierbach;Oberösterreich;Kirchdorf an der Krems ;Schlierbach ;Unterschlierbach (49126) ;UTM 33 ;434777,00 ;5309560,00 
Denkmalanlage Maria Wörth;Kärnten;Klagenfurt Land ;Maria Wörth ;Maria Wörth (72141) ;UTM 33 ;436033,05 ;5163000,16 
Denkmalanlage Feste Riegersburg;Steiermark;Südoststeiermark ;Riegersburg ;Riegersburg (62151) ;UTM 33 ;570881,00 ;5206128,00 
Ensemble Steyr;Oberösterreich;Steyr (Statutarstadt) ;Steyr (Statutarstadt) ;Steyr (49233) ;UTM 33 ;456750,00 ;5321104,00 
Denkmalanlage Wien III;Wien;Wien III - Landstraße ;Wien ;Landstraße (01006) ;UTM 33 ;602582.96 ;5338791.52 
Denkmalanlage Stift Kremsmünster;Oberösterreich;Kirchdorf an der Krems ;Kremsmünster ;Unterburgfried (51024) ;UTM 33 ;435169,00 ;5322727,00 
Ensemble Laxenburg;Niederösterreich;Mödling ;Laxenburg ;Laxenburg (16117) ;UTM 33 ;601039,00 ;5324664,00 
Obervellach;Kärnten;Spittal an der Drau ;Obervellach ;Obervellach (73308) ;UTM 33 ;363156,65 ;5199305,59 
Denkmalanlage Stift St. Lambrecht;Steiermark;Murau ;Sankt Lambrecht ;St. Lambrecht (65316) ;UTM 33 ;446910,00 ;5213421,00 
Eisenstadt;Burgenland;Eisenstadt (Statutarstadt) ;Eisenstadt (Statutarstadt) ;Eisenstadt (30003) ;UTM 33 ;613667,97 ;5300350,82 
Denkmalanlage Stift Schlägl;Oberösterreich;Rohrbach ;Schlägl ;Schlägl (47009) ;UTM 33;423972,00 ;5387540,00
Ensemble Murau;Steiermark;Murau ;Murau ;Murau (65215) ;UTM 33 ;436970 ;5217901 
Eisenstadt;Burgenland;Eisenstadt (Statutarstadt) ;Eisenstadt (Statutarstadt) ;Oberberg-Eisenstadt (30004) ;UTM 33 ;613132,10 ;5300183,25 
Ensemble Steyrdorf;Oberösterreich;Steyr (Statutarstadt);Steyr (Statutarstadt) ;Steyr (49233) ;UTM 33 ;456901,00 ;5321287,00 
Ensemble Linz;Oberösterreich;Linz (Statutarstadt) ;Linz (Statutarstadt) ;Linz (45203) ;UTM 33 ;447090,00 ;5350535,00 
Denkmalanlage Stift Lilienfeld;Niederösterreich;Lilienfeld ;Lilienfeld ;Lilienfeld (19318) ;UTM 33 ;544650,00 ;5317928,00 
Denkmalanlage Schloss Rosenburg;Niederösterreich;Horn ;Rosenburg-Mold ;Rosenburg (10054) ;UTM 33 ;546789,00 ;5386316,00 
Apriach;Kärnten;Spittal an der Drau ;Heiligenblut ;Apriach (73501) ;UTM 33 ;339304,51 ;5208533,21 
Denkmalanlage Wien XIX;Wien;Wien XIX - Döbling;Wien ;Heiligenstadt (01503);UTM 33 ;601293.38 ;5345124.99 
Engelhartstetten;Niederösterreich;Gänserndorf ;Engelhartstetten ;Markthof (06308) ;UTM 33 ;643793,00 ;5341892,00 
Denkmalanlage Schloss Eckartsau;Niederösterreich;Gänserndorf ;Eckartsau ;Eckartsau (06203) ;UTM 33 ;633451,00 ;5333470,00 
Denkmalanlage Burg Hochosterwitz;Kärnten;Sankt Veit an der Glan ;Sankt Georgen am Längsee ;Osterwitz (74520) ;UTM 33 ;458174,68 ;5178223,09 
Ensemble Klosterneuburg;Niederösterreich;Wien- Umgebung ;Klosterneuburg ;Klosterneuburg (01704) ;UTM 33 ;598257,00 ;5351292,00   
Ensemble Rust;Burgenland;Rust (Statutarstadt) ;Rust ;Rust (30018) ;UTM 33 ;625432,18 ;5295566,53 
Denkmalanlage Stift Michaelbeuern;Salzburg;Salzburg- Umgebung ;Dorfbeuern ;Dorfbeuern (56404) ;UTM 33 ;353062,90 ;5320433,70 
Mariazell;Steiermark;Bruck- Mürzzuschlag ;Mariazell ;Mariazell (60403) ;UTM 33 ;523915,00 ;5291097,00 
Denkmalanlagen Wien XI;Wien;Wien ;XI - Simmering ;Wien Kaiserebersdorf (01103) ;UTM 33 ;607187,14 ;5334907,54
Ensemble Graz;Steiermark;Graz (Statutarstadt) ;Graz (Statutarstadt) ;Innere Stadt (63101), Geidorf (63103), St. Leonhard (63102), Jakomini (63106);UTM 33;533236,00;5213204,00
Denkmalanlage Stift Herzogenburg;Niederösterreich;St Pölten ;Herzogenburg ;Herzogenburg (19130) ;UTM 33 ;551777,00 ;5348435,00 
Ensemble Baden;Niederösterreich;Baden ;Baden ;Rauhenstein (04025), Weikersdorf (04036) ;UTM 33 ;590542,00 ;5317772,00 
Denkmalanlage Schloss Frauenstein;Kärnten;Sankt Veit an der Glan ;Frauenstein ;Obermühlbach (74519) ;UTM 33 ;449178,66 ;5182027,75 
Gmunden;Oberösterreich;Gmunden ;Gmunden ;Ort-Gmunden (42150) ;UTM 33 ;409736,00 ;5307147,00 
Gerlamoos;Kärnten;Spittal an der Drau ;Steinfeld ;Gerlamoos (73109) ;UTM 33 ;368039,09 ;5180530,38 
Ensemble Gmünd;Niederösterreich;Gmünd ;Gmünd ;Gmünd (07007) ;UTM 33 ;498901,00 ;5402261,00 
Ehem. Klosteranlage Millstatt;Kärnten;Spittal an der Drau ;Millstatt ;Millstatt (73209) ;UTM 33 ;390911,85 ;5184401,30 
Denkmalanlage Kartause Gaming;Niederösterreich;Scheibbs ;Gaming ;Gaming (22007) ;UTM 33 ;506075,00 ;5307782,00 
Ensemble Wien I;Wien;Wien I - Innere Stadt ;Wien ;Innere Stadt (01004) ;UTM 33 ;602039,81 ;5340367.57 
Mauthausen;Oberösterreich;Perg ;Mauthausen ;Mauthausen (43107) ;UTM 33 ;462897,00 ;5345068,00 
Ensemble Freistadt;Oberösterreich;Freistadt ;Freistadt ;Freistadt (41002) ;UTM 33 ;463455,00 ;5373278,00 
Denkmalanlage Burg Hohenwerfen;Salzburg;Sankt Johann im Pongau;Werfen ;Werfen Markt (55506) ;UTM 33 ;363527,80 ;5260409,50 
Ensemble Hall in Tirol;Tirol;Innsbruck-Land ;Hall in Tirol ;Hall (81007) ;UTM 32 ;689597,00 ;5239469,00 
Denkmalanlage Stift Stams;Tirol;Imst ;Stams ;Stams (80111) ;UTM 32 ;650069,00 ;5237932,00 
Denkmalanlage Burg Güssing;Burgenland;Güssing ;Güssing ;Güssing (31013) ;UTM 33 ;600466,72 ;5212366,01 
Denkmalanlage Stift St. Florian;Oberösterreich;Linz-Land ;Sankt Florian; St. Florian Markt (35331) ;UTM 33 ;453859,00 ;5339583,00 
Denkmalanlage Stift Vorau;Steiermark;Hartberg-Fürstenfeld ;Vorau ;Vorau (64322) ;UTM 33 ;567137,00 ;5250123,00 
Nauders;Tirol;Landeck ;Nauders ;Nauders I (84108) ;UTM 32 ;613182,00 ;5198367,00 
Ensemble Purbach;Burgenland;Eisenstadt-Umgebung ;Purbach am Neusiedler See ;Purbach am Neusiedlersee (30017) ;UTM 33 ;626722,74 ;5308099,07 
Ensemble Melk;Niederösterreich;Melk ;Melk ;Melk (14143) ;UTM 33 ;524592,00 ;5341508,00 
Ensemble Braunau am Inn;Oberösterreich;Braunau am Inn ;Braunau am Inn ;Braunau am Inn (40005) ;UTM 33 ;354220,00 ;5346838,00 
Denkmalanlage Burg Forchtenstein;Burgenland;Mattersburg ;Forchtenstein ;Neustift an der Rosalia (30111);UTM 33 ;599894,99 ;5284897,92 
St. Wolfgang im Salzkammergut;Oberösterreich;Gmunden ;Sankt Wolfgang im Salzkammergut ;St. Wolfgang (42021) ;UTM 33 ;383617,00 ;5288346,00 
Denkmalanlage Stift St. Paul im Lavanttal;Kärnten;Wolfsberg ;Sankt Paul im Lavanttal ;St. Paul (77129) ;UTM 33 ;490303,79 ;5171895,86 
Engelhartstetten;Niederösterreich;Gänserndorf ;Engelhartstetten ;Engelhartstetten (06303) ;UTM 33 ;641257,00 ;5340045,00 
Ensemble Baden;Niederösterreich;Baden ;Baden ;Rauhenstein (04025), Weikersdorf (04036);UTM 33 ;590542,00 ;5317772,00 
Denkmalanlage Stift Altenburg;Niederösterreich;Horn ;Altenburg ;Altenburg (10001) ;UTM 33 ;543806,00 ;5387997,00 
Stans;Tirol;Schwaz ;Stans ;Stans (87008) ;UTM 32 ;707013,00 ;5251593,00 
Ensemble Feldkirch;Vorarlberg;Feldkirch ;Feldkirch ;Feldkirch (92105) ;UTM 32 ;545131,80 ;5231674,20 
Denkmalanlage Stift Wilten;Tirol;Innsbruck (Statutarstadt) ;Innsbruck (Statutarstadt) ;Wilten (81136) ;UTM 32 ;681611,00 ;5236144,00 
Ensemble Friesach;Kärnten;Sankt Veit an der Glan ;Friesach ;Friesach (74302) ;UTM 33 ;454801,74 ;5199880,90 
Denkmalanlage Schloss Hellbrunn;Salzburg;Salzburg (Statutarstadt);Salzburg (Statutarstadt) ;Morzg (56532) ;UTM 33 ;354640,50 ;5291683,70 
Denkmalanlage Wien XI;Wien;Wien XI - Simmering ;Wien ;Kaiserebersdorf (01103) ;UTM 33 ;607243,1 ;5333917,76 
Ensemble Rattenberg;Tirol;Kufstein ;Rattenberg ;Rattenberg (83115), Radfeld (83114) ;UTM 32 ;718167,00 ;5258085,00 
Denkmalanlage Stift Seitenstetten;Niederösterreich;Amstetten ;Seitenstetten ;Seitenstetten Markt (03223) ;UTM 33 ;474237,00 ;5320314
Ensemble Dornbirn;Vorarlberg;Dornbirn ;Dornbirn ;Dornbirn (92001) ;UTM 32 ;557270,70 ;5250689,80 
Karnburg;Kärnten;Klagenfurt Land ;Maria Saal ;Karnburg (72125) ;UTM 33 ;447712,42 ;5170429,01 
Denkmalanlage Schloss Ambras;Tirol;Innsbruck (Statutarstadt) ;Innsbruck (Statutarstadt) ;Innsbruck (81113) ;UTM 32 ;684182,00 ;5236510,00
Ensemble Hohenems;Vorarlberg;Dornbirn ;Hohenens ;Hohenems (92004) ;UTM 32 ;551956,70 ;5245984,40 
Ensemble Schwarzenberg;Vorarlberg;Bregenz ;Schwarzenberg ;Schwarzenberg (91018) ;UTM 32 ;564336,30 ;5251489,50 
Zlapp und Hof;Kärnten;Spittal an der Drau ;Heiligenblut ;Zlapp und Hof (73518) ;UTM 33 ;336020,36 ;5211801,09 
Denkmalanlage Stift Admont;Steiermark;Liezen ;Admont ;Admont (67401) ;UTM 33 ;459538,00 ;5269247,00 
Denkmalanlage Schloss Leopoldskron;Salzburg;Salzburg (Statutarstadt) ;Salzburg (Statutarstadt) ;Leopoldskron (56527) ;UTM 33 ;353102,80 ;5294635,80 
Ensemble Zwettl;Niederösterreich;Zwettl ;Zwettl – Niederösterreich;Zwettl Stadt (24392) ;UTM 33 ;512361,00 ;5383589,00 
Ensemble Eferding;Oberösterreich;Eferding ;Eferding ;Eferding (45005) ;UTM 33 ;427535,00 ;5351192,00 
Denkmalanlage Schloss Halbturn;Burgenland;Neusiedl an See ;Halbturn ;Halbturn (32009) ;UTM 33 ;647581,36 ;5304259,79 
Denkmalanlage Schloss Kleßheim;Salzburg;Salzburg-Umgebung ;Wals-Siezenheim ;Siezenheim I (56542), Liefering I (56553) ;UTM 33 ;349689,20 ;5298193,00 
Rohrau;Niederösterreich;Bruck an der Leitha ;Rohrau ;Rohrau (05017) ;UTM 33 ;637975,00 ;5324909,00 
Ensemble Bad Gastein;Salzburg;Sankt Johann im Pongau ;Bad Gastein ;Badgastein (55001) ;UTM 33 ;358481,80 ;5219316,50 
