Organisation,Sitz,Gesetzliche Grundlage ihrer Errichtung,Zahl der überwiegend als Interessenvertreter tätigen Personen,Bestätigte geschätzte Kosten der Interessenvertretung in ,Jahr,Webseite
Fachverband der industriellen Hersteller von Produkten aus Papier und Karton,"Brucknerstraße 8, 1041 Wien","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",3,176,2014,http://www.ppv.at
Landesinnung der Bestatter,"Meinhardstraße 14, 6020 Innsbruck","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"548,56",2014,https://www.wko.at/content.Node/branchen/t/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
Landesinnung der Gärtner und Floristen,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"2380,5",2014,https://www.wko.at/content.Node/branchen/b/Gaertner-und-Floristen/Startseite-Gaertner-und-Floristen.html
Fachgruppe Entsorgungs- und Ressourcenmanagement,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"2798,24",2014,https://www.wko.at/content.Node/branchen/k/sparte_iuc/Abfall--und-Abwasserwirtschaft/Startseite---Abfall--und-Abwasserwirtschaft--Fachgruppe.html
Landesgremium des Außenhandels,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3108,83",2014,"https://www.wko.at/content.Node/branchen/b/Aussenhandel/Startseite_-_Aussenhandel,_Landesgremium.html"
Landesinnung der Rauchfangkehrer,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3204,27",2014,https://www.wko.at/content.Node/branchen/b/Rauchfangkehrer-und-Bestatter/Startseite-Rauchfangkehrer-und-Bestatter.html
"Landesgremium des Markt-, Straßen- und Wanderhandel","Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3277,26",2014,"https://www.wko.at/content.Node/branchen/b/Markt---Strassen--und-Wanderhandel/Startseite_-_Markt-,_Strassen-_und_Wanderhandel,_Landesgrem.html"
Fachgruppe der Gesundheitsbetriebe,"Europaplatz 1, 9021 Klagenfurt am Wörthersee","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3282,55",2014,https://www.wko.at/content.Node/branchen/k/Gesundheitsbetriebe/Startseite---Gesundheitsbetriebe--Fachgruppe.html
Landesinnung der Mode und Bekleidungstechnik,"Robert Graf-Platz 1, 7000 Eisenstadt","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3340,56",2014,https://www.wko.at/content.Node/branchen/b/Mode-und-Bekleidungstechnik/Startseite-Mode-und-Bekleidungstechnik.html
Fachgruppe des Energiehandels,"Julius-Raab-Platz 1, 5027 Salzburg","Wirtschaftskammergesetz 1998 – WKG, BGBl I Nr 103/1998 idF BGBl I Nr 46/2014",2,"3501,83",2014,"https://www.wko.at/content.Node/branchen/sbg/Energiehandel/Startseite_-_Energiehandel,_Landesgremium.html"
