ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
1,1. Demokratische Partei Österreichs,,13.08.1993,1993,"1 ""1. Demokratische Partei Österreichs"" 13.08.1993"
2,99-eins,"Kurzbezeichnung ""991""",08.05.2013,2013,"2 ""99-eins"", Kurzbezeichnung ""991"" 08.05.2013"
3,A.L.R. Partei für authentische Lebensräume,,02.05.2000,2000,"3 ""A.L.R. Partei für authentische Lebensräume"" 02.05.2000"
4,Abendländisch-National-Europäische Union (ANEU),,31.05.1995,1995,"4 ""Abendländisch-National-Europäische Union (ANEU)"" 31.05.1995"
5,agendAVolk,"Kurzbezeichnung ""AV""",22.10.2014,2014,"5 ""agendAVolk"", Kurzbezeichnung ""AV"" 22.10.2014"
6,AKTION CHRISTLICHES EUROPA (ACE),,06.04.1998,1998,"6 ""AKTION CHRISTLICHES EUROPA (ACE)"" 06.04.1998"
7,Aktion für humanistische Medizin,"Abkürzung ""AFM""",09.11.1993,1993,"7 ""Aktion für humanistische Medizin"", Abkürzung ""AFM"" 09.11.1993"
8,Aktion Neue Rechte - ANR,,24.09.1975,1975,"8 ""Aktion Neue Rechte - ANR"" 24.09.1975"
9,AKTION UMWELT SPIEGEL,,25.05.1992,1992,"9 ""AKTION UMWELT SPIEGEL"" 25.05.1992"
10,Aktionistische Partei Ostösterreichs,(A.P.O.),20.12.1983,1983,"10 ""Aktionistische Partei Ostösterreichs"" (A.P.O.) 20.12.1983"
11,AktionsGemeinschaft Kärntner Studenten,"abgekürzt ""AG""",13.09.1995,1995,"11 ""AktionsGemeinschaft Kärntner Studenten"", abgekürzt ""AG"" 13.09.1995"
12,AL/VGÖ Wahlgemeinschaft Vorarlberg,"Abkürzung ""GRÜNE""",16.09.1988,1988,"12 ""AL/VGÖ Wahlgemeinschaft Vorarlberg"", Abkürzung ""GRÜNE"" 16.09.1988"
13,ALLGEMEINE PARTEI ÖSTERREICHS,"kurz ""APÖ""",08.02.1983,1983,"13 ""ALLGEMEINE PARTEI ÖSTERREICHS"", kurz ""APÖ"" 08.02.1983"
14,Allianz für Österreichs Zukunft,,27.04.1990,1990,"14 ""Allianz für Österreichs Zukunft"" 27.04.1990"
15,Alpine Pogo Partei Österreich,"Kurzbezeichnung ""APPÖ""",30.06.2006,2006,"15 ""Alpine Pogo Partei Österreich"", Kurzbezeichnung ""APPÖ"" 30.06.2006"
16,Alternative Basisliste,(ALB),19.06.1986,1986,"16 ""Alternative Basisliste"" (ALB) 19.06.1986"
17,ALTERNATIVE BEWEGUNG ÖSTERREICHS (ABÖ),,19.11.1982,1982,"17 ""ALTERNATIVE BEWEGUNG ÖSTERREICHS (ABÖ)"" 19.11.1982"
18,Alternative für Österreich - neu (AfÖn),"Kurzbezeichnung ""AfÖn""",16.09.2013,2013,"18 ""Alternative für Österreich - neu (AfÖn)"", Kurzbezeichnung ""AfÖn"" 16.09.2013"
19,Alternative für Österreich (AfÖ),,14.04.2013,2013,"19 ""Alternative für Österreich (AfÖ)"" 14.04.2013"
20,ALTERNATIVE LISTE (AL),,19.11.1982,1982,"20 ""ALTERNATIVE LISTE (AL)"" 19.11.1982"
21,ALTERNATIVE LISTE BURGENLAND - FÜR DEMOKRATIE UND UMWELTSCHUTZ,(AL - BGLD),27.01.1983,1983,"21 ""ALTERNATIVE LISTE BURGENLAND - FÜR DEMOKRATIE UND UMWELTSCHUTZ"" (AL - BGLD) 27.01.1983"
22,Alternative Liste Graz,,15.02.1988,1988,"22 ""Alternative Liste Graz"" 15.02.1988"
23,Alternative Liste Heidenreichstein,(ALH),28.04.1983,1983,"23 ""Alternative Liste Heidenreichstein"" (ALH) 28.04.1983"
24,ALTERNATIVE LISTE KÄRNTEN FÜR DEMOKRATIE UND UMWELTSCHUTZ,,17.01.1983,1983,"24 ""ALTERNATIVE LISTE KÄRNTEN FÜR DEMOKRATIE UND UMWELTSCHUTZ"" 17.01.1983"
25,Alternative Liste Linz (ALL),,09.08.1984,1984,"25 ""Alternative Liste Linz (ALL)"" 09.08.1984"
26,ALTERNATIVE LISTE NIEDERÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ,(AL-NÖ),21.10.1982,1982,"26 ""ALTERNATIVE LISTE NIEDERÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ"" (AL-NÖ) 21.10.1982"
27,Alternative Liste Oberösterreich,(ALOÖ),07.12.1982,1982,"27 ""Alternative Liste Oberösterreich"" (ALOÖ) 07.12.1982"
28,ALTERNATIVE LISTE ÖSTERREICH - DIE GRÜNEN ALTERNATIVEN (ALÖ),,19.11.1982,1982,"28 ""ALTERNATIVE LISTE ÖSTERREICH - DIE GRÜNEN ALTERNATIVEN (ALÖ)"" 19.11.1982"
29,ALTERNATIVE LISTE ÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ (ALÖ),,19.11.1982,1982,"29 ""ALTERNATIVE LISTE ÖSTERREICH - FÜR DEMOKRATIE UND UMWELTSCHUTZ (ALÖ)"" 19.11.1982"
30,ALTERNATIVE LISTE ÖSTERREICH (ALÖ),,10.11.1982,1982,"30 ""ALTERNATIVE LISTE ÖSTERREICH (ALÖ)"" 10.11.1982"
31,Alternative Liste Österreichs - ALÖ,,27.09.1982,1982,"31 ""Alternative Liste Österreichs - ALÖ"" 27.09.1982"
