Jahr,Förderung,Medium/Fördernehmer,Verleger,Förderbetrag
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kleine Zeitung Steiermark und Kärnten,"Kleine Zeitung GmbH & Co KG Gadollaplatz 1, 8010 Graz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Kurier,"Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Kronenzeitung,"Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG Muthgasse 2, 1190 Wien","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neue Vorarlberger Tageszeitung,"NEUE Zeitungs GmbH Gutenbergstraße 1, 6858 Schwarzach","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Neues Volksblatt,"OÖ Media Data Vertriebs- und Verlagsges.m.b.H. Hafenstraße 1-3, 4010 Linz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,OÖ Nachrichten,"OÖN Redaktion GmbH & CO KG Promenade 23, 4020 Linz","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Die Presse,"Die Presse Verlags-Gesellschaft m.b.H. & Co KG Hainburgerstraße 33, 1030 Wien","152.574,50"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Salzburger Nachrichten,"Salzburger Nachrichten Verlagsges.m.b.H. & Co KG Karolingerstraße 40, 5020 Salzburg","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Der Standard,"Standard Verlagsgesellschaft m.b.H. Vordere Zollamtsstraße 13, 1030 Wien","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Tiroler Tageszeitung,"Schlüsselverlag J.S. Moser GmbH Brunecker Straße 3, 6020 Innsbruck","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,Vorarlberger Nachrichten,"Russmedia Verlag GmbH Gutenbergstraße 1, 6858 Schwarzach","190.718,20"
2015,Vertriebsförderung für Tageszeitungen gemäß dem Abschnitt II PresseFG 2004,WirtschaftsBlatt,"WirtschaftsBlatt Medien GmbH Hainburgstraße 33, 1030 Wien","114.430,90"
