Jahr,Name_Zeitschrift,Name_Zeitschrift_clean,Förderungswerber,Förderungsbetrag,Nicht_gefördert
2015,ACADEMIA - Zeitschrift für Politik,"ACADEMIA – Zeitschrift für Politik, Wirtschaft, Religion, Kultur","ÖCV und ÖAHB Lerchenfelderstraße 14, 1080 Wien","5150,16",
2015,AEP-Informationen - Feministische Zeitschrift für Politik und Gesellschaft,AEP-Informationen Feministische Zeitschrift für Politik und Gesellschaft,"Arbeitskreis Emanzipation und Partnerschaft Schöpfstraße 19, 6020 Innsbruck","5150,16",
2015,AKIN,AKIN,"FÖJ – Bewegung für Sozialismus Belvederegasse 10, 1040 Wien","5150,16",
2015,ALFRED KLAHR GESELLSCHAFT,ALFRED KLAHR GESELLSCHAFT. MITTEILUNGEN,"Alfred Klahr Gesellschaft Drechslergasse 42, 1140 Wien",1360,
2015,Die ALTERNATIVE,Die ALTERNATIVE,"Alternative und Grüne GewerkschafterInnen - UG Belvederegasse 10, 1040 Wien","5150,16",
2015,AMT UND GEMEINDE,AMT UND GEMEINDE,"Evangelische Kirche A.B. in Österreich Severin-Schreiber-G. 3, 1180 Wien","5150,16",
2015,Der APFEL – Rundbrief des Österr,Der APFEL - Zeitschrift des Österreichischen Frauenforums Feministische Theologie,"Österreichisches Frauenforum Feministische Theologie Baum 1, 4880 Berg im Attergau","5150,16",
2015,Die ARBEIT,Die ARBEIT,"Gewerkschaftlicher Linksblock Hugogasse 8, 1110 Wien",2040,
2015,ASYL AKTUELL,ASYL AKTUELL,"Asylkoordination Österreich Burggasse 81/7, 1070 Wien","5150,16",
2015,BANANENBLATT- Das Magazin der Komischen Künste,BANANENBLATT - Satire und Komische Kunst,"Komische Künste Verlagsges.m.b.H. Museumsquartier, Museumsplatz 1, 1070 Wien",1360,
2015,BEHINDERTE MENSCHEN,Behinderte Menschen,"Verein Initiativ für behinderte Kinder und Jugendliche Alberstraße 8, 8010 Graz","10300,33",
2015,BIZEPS INFO,BIZEPS INFO,"Bizeps - Zentrum für selbstbestimmtes Leben Schönngasse 15-17/4, 1020 Wien",1360,
2015,CUBA SI,CUBA SI,"Österreichisch-Kubanische Gesellschaft Seisgasse 1, 1040 Wien","5150,16",
2015,DIALOG – Du Siach Christlich- jüdische Informationen,DIALOG – Du Siach Christlich-jüdische Informationen,"Koordinierungsausschuss für christlich-jüdische Zusammenarbeit Tandelmarktgasse 5, 1020 Wien","5150,16",
2015,EFA,EFA,"Evangelische Frauenarbeit in Österreich Blumengasse 4/6, 1180 Wien","5150,16",
2015,EHE UND FAMILIEN,EHE UND FAMILIEN,"Katholischer Familienverband Österreichs Spiegelgasse 3/3/9, 1010 Wien","5150,16",
