Anzeigen,StGB 1,StGB 2,2014 Recht rep 15,2013 Recht rep 15,"2013
Recht
rep 14","2012
Recht
rep 14",2014 Links rep 15,2013 Links rep 15,2013 Links rep 14,"2012 Links
rep 14"
Anzeigen nach dem Verbotsgesetz,,,663,529,529,466,-,-,,
Anzeigen nach dem Abzeichengesetz,,,13,17,17,31,-,-,,
Anzeigen nach Art. III Abs.1 Ziff. 3 u. 4 EGVG,,,19,48,48,17,-,-,,
Anzeigen nach dem StGB,,,,,,,,,,
Körperverletzung (§ 83 StGB),83,84,16,10,11,39,15,16,36,22
Schwere Körperverletzung (§ 84 StGB),84,,2,1,-,-,31,20,-,-
Körperverletzung mit schweren Dauerfolgen (§ 85 StGB),85,,-,-,-,-,1,0,-,-
Absichtliche schwere Körperverletzung (§ 87 StGB),87,,-,-,-,-,1,0,-,-
Gefährdung der körperlichen Sicherheit (§ 89 StGB),89,,1,2,2,0,-,-,-,-
Raufhandel (§ 91 StGB),91,,5,1,1,3,7,0,-,-
Nötigung (§ 105 StGB),105,,3,2,2,0,3,5,5,2
Schwere Nötigung (§ 106 StGB),106,,2,1,1,0,1,0,-,-
Gefährliche Drohung (§ 107 StGB),107,,43,46,46,31,2,0,-,-
Beleidigung (§ 115 StGB),115,,2,2,2,0,-,-,-,-
Widerrechtlicher Zugriff auf ein Computersystem (§ 118a StGB),118a,,-,-,-,-,1,0,-,-
Sachbeschädigung (§ 125 StGB),125,126,182,315,176,219,239,99,120,99
Schwere Sachbeschädigung (§ 126 StGB),126,,21,20,-,-,50,21,-,-
Diebstahl (§ 127 StGB),127,,5,2,2,2,11,1,1,7
Diebstahl durch Einbruch oder mit Waffen (§ 129 StGB),129,,4,0,-,-,-,-,-,-
Dauernde Sachentziehung (§ 135 StGB),135,,-,-,-,-,-,-,1,1
Raub (§ 142 StGB),142,,1,0,-,-,5,0,1,1
Betrug (§ 146 StGB),146,,-,-,3,0,-,-,-,-
Gewerbsmäßiger Betrug (§ 148 StGB),148,,-,-,1,0,-,-,-,-
Untreue (§ 153 StGB),153,,-,-,,,3,0,-,-
Geldwäscherei (§ 165 StGB),165,,-,-,1,0,-,-,-,-
Brandstiftung (§ 169 StGB),169,,-,-,2,0,-,-,-,-
Herabwürdigung religiöser Lehren (§ 188 StGB),188,,10,4,4,3,-,-,-,-
Störung der Totenruhe (§ 190 StGB),190,,1,1,1,1,-,-,1,0
Geschlechtliche Nötigung (§ 202 StGB),202,,-,-,2,0,-,-,-,-
Pornographische Darstellungen Minderjähriger (§ 207a StGB),207a,,1,0,-,-,-,-,-,-
Urkundenunterdrückung (§ 229 StGB),229,,-,-,,,1,0,-,-
Herabwürdigung des Staates und seiner Symbole (§ 248 StGB),248,,-,-,2,0,-,-,-,-
Widerstand gegen die Staatsgewalt (§ 269 StGB),269,,4,4,4,2,73,18,18,10
Tätlicher Angriff auf einen Beamten (§ 270 StGB),270,,-,-,2,0,6,11,11,3
Landfriedensbruch (§ 274 StGB),274,,-,-,-,-,20,31,-,-
Landzwang (§ 275 StGB),275,,-,-,2,0,-,-,-,-
Kriminelle Vereinigung (§ 278 StGB),278,,-,-,-,-,1,35,-,-
Aufforderung zu mit Strafe bedrohten Handlungen und Gutheißung mit Strafe bedrohter Handlungen (§ 282 StGB),282,,4,4,4,2,-,-,-,-
Verhetzung (§ 283 StGB),283,,182,152,152,83,11,2,-,-
Sprengung einer Versammlung (§ 284 StGB),284,,-,-,-,-,-,-,31,0
Verhinderung oder Störung einer Versammlung (§ 285 StGB),285,,-,-,-,-,29,0,35,0
Begehung einer mit Strafe bedrohten Handlung im Zustand voller Berauschung (§ 287 StGB),287,,-,-,1,2,-,-,-,-
Verleumdung (§ 297 StGB),297,,-,-,-,-,-,-,2,0
Missbrauch der Amtsgewalt (§ 302 StGB),302,,-,-,1,0,-,-,-,-
andere StGB Delikte,,,0,17,16,0,-,-,0,13
Anzeigen nach anderen Gesetzen / Verordnungen,,,,,,,,,,
Waffengesetz (§ 50),50,,15,6,6,3,-,-,-,-
Suchtmittelgesetz (§ 27),27,,1,2,2,0,-,-,-,-
Wiener Landes-Sicherheitsgesetz (WLSG),,,1,0,-,-,-,-,-,-
Versammlungsgesetz,,,-,-,-,-,10,36,36,23
Sicherheitspolizeigesetz,,,-,-,-,-,13,112,112,12
Steiermärkisches Landes-Sicherheitsgesetz,,,-,-,-,-,5,0,-,-
Sonstige,,,-,-,-,-,6,1,0,5
Pyrotechnikgesetz,,,-,-,-,-,-,-,1,0
Summe,,,1201,1186,1027,920,545,411,411,198
