Anzeigen,StGB1,StGB2,2014 rep 15,2013 rep 15,2013 rep 14,2012 rep 14
Anzeigen nach dem Verbotsgesetz,,,663,529,529,466
Anzeigen nach dem Abzeichengesetz,,,13,17,17,31
Anzeigen nach Art. III Abs.1 Ziff. 3 u. 4 EGVG,,,19,48,48,17
Anzeigen nach dem StGB,,,,,,
Körperverletzung (§ 83 StGB),83,84,16,10,11,39
Schwere Körperverletzung (§ 84 StGB),84,,2,1,-,-
Gefährdung der körperlichen Sicherheit (§ 89 StGB),89,,1,2,2,0
Raufhandel (§ 91 StGB),91,,5,1,1,3
Nötigung (§ 105 StGB),105,,3,2,2,0
Schwere Nötigung (§ 106 StGB),106,,2,1,1,0
Gefährliche Drohung (§ 107 StGB),107,,43,46,46,31
Beleidigung (§ 115 StGB),115,,2,2,2,0
Sachbeschädigung (§ 125 StGB),125,126,182,315,176,219
Schwere Sachbeschädigung (§ 126 StGB),126,,21,20,-,-
Diebstahl (§ 127 StGB),127,,5,2,2,2
Diebstahl durch Einbruch oder mit Waffen (§ 129 StGB),129,,4,0,-,-
Raub (§ 142 StGB),142,,1,0,-,-
Herabwürdigung religiöser Lehren (§ 188 StGB),188,,10,4,4,3
Betrug (§ 146 StGB),146,,-,-,3,0
Gewerbsmäßiger Betrug (§ 148 StGB),148,,-,-,1,0
Geldwäscherei (§ 165 StGB),165,,-,-,1,0
Brandstiftung (§ 169 StGB),169,,-,-,2,0
Herabwürdigung religiöser Lehren (§ 188 StGB),188,,-,-,4,3
Störung der Totenruhe (§ 190 StGB),190,,1,1,1,1
Geschlechtliche Nötigung (§ 202 StGB),202,,-,-,2,0
Pornographische Darstellungen Minderjähriger (§ 207a StGB),207a,,1,0,-,-
Herabwürdigung des Staates und seiner Symbole (§ 248 StGB),248,,-,-,2,0
Widerstand gegen die Staatsgewalt (§ 269 StGB),269,,4,4,4,2
Tätlicher Angriff auf einen Beamten (§ 270 StGB),270,,-,-,2,0
Landzwang (§ 275 StGB),275,,-,-,2,0
Aufforderung zu mit Strafe bedrohten Handlungen und Gutheißung mit Strafe bedrohter Handlungen (§ 282 StGB),282,,4,4,4,2
Verhetzung (§ 283 StGB),283,,182,152,152,83
Begehung einer mit Strafe bedrohten Handlung im Zustand voller Berauschung (§ 287 StGB),287,,-,-,1,2
Missbrauch der Amtsgewalt (§ 302 StGB),302,,,1,1,
andere StGB Delikte,,,0,17,0,16
Anzeigen nach anderen Gesetzen oder Verordnungen,,,,,,
Waffengesetz (§ 50),50,,15,6,6,3
Suchtmittelgesetz (§ 27),27,,1,2,2,0
Wiener Landes-Sicherheitsgesetz (WLSG),,,1,0,,
Summe,,,1201,1186,1027,920
