Anzeigen,StGB,2013,2012
Anzeigen nach dem StGB,,,
Fahrlässige Körperverletzung (§ 88 StGB),88,0,1
Imstichlassen eines Verletzten (§ 94 StGB),94,0,1
Hausfriedensbruch (§ 109 StGB),109,2,1
Sachbeschädigung (§ 125 StGB),125,7,5
Schwere Sachbeschädigung (§ 126 StGB),126,3,2
Diebstahl (§ 127 StGB),127,1,0
Diebstahl durch Einbruch od. mit Waffen (§ 129 StGB),129,0,1
Dauernde Sachentziehung (§ 135 StGB),135,1,0
Herabwürdigung religiöser Lehren (§ 188 StGB),188,0,4
Tierquälerei (§ 222 StGB),222,0,1
Anzeigen nach anderen Gesetzen / Verordnungen,,,
Versammlungsgesetz,,1,5
Jagdstörung,,1,2
Besitzstörung,,1,0
Sonstige,,0,3
Summe,,17,26
