Volksbegehren;Gebiet;"Stimm-berechtigte";"ungültigeEintragungen";"gültigeEintragungen";"Unter-stützungs-erklärungen";"Stimm-beteiligungin%(brutto)";"gültigeEintragungen+UE";Bundesland;Beteiligung (Gültig + Ungültig) in %;Beteiligung (G, Ung, Unter)
Volksbegehren Demokratie Jetzt!;FREISTADT EISENSTADT;10279;2;114;25;1.35%;139;Burgenland;0.011285144;0.013717288
Volksbegehren Demokratie Jetzt!;FREISTADT RUST;1544;0;9;1;0.65%;10;Burgenland;0.005829016;0.006476684
Volksbegehren Demokratie Jetzt!;EISENSTADT UMGEBUNG;33185;3;167;55;0.67%;222;Burgenland;0.005122796;0.006780172
Volksbegehren Demokratie Jetzt!;GÜSSING;21767;1;76;21;0.45%;97;Burgenland;0.003537465;0.004502228
Volksbegehren Demokratie Jetzt!;JENNERSDORF;14655;1;96;21;0.80%;117;Burgenland;0.006618901;0.008051859
Volksbegehren Demokratie Jetzt!;MATTERSBURG;31054;1;184;38;0.71%;222;Burgenland;0.005957365;0.007181039
Volksbegehren Demokratie Jetzt!;NEUSIEDL AM SEE;44442;1;236;34;0.61%;270;Burgenland;0.005332793;0.006097835
Volksbegehren Demokratie Jetzt!;OBERPULLENDORF;31118;2;173;21;0.62%;194;Burgenland;0.005623755;0.006298605
Volksbegehren Demokratie Jetzt!;OBERWART;43358;1;238;42;0.65%;280;Burgenland;0.005512247;0.006480926
Volksbegehren Demokratie Jetzt!;KLAGENFURT STADT;72972;3;634;86;0.99%;720;Kärnten;0.008729376;0.00990791
Volksbegehren Demokratie Jetzt!;VILLACH STADT;44657;0;317;46;0.81%;363;Kärnten;0.007098551;0.008128625
Volksbegehren Demokratie Jetzt!;HERMAGOR;14966;0;78;7;0.57%;85;Kärnten;0.005211813;0.00567954
Volksbegehren Demokratie Jetzt!;KLAGENFURT LAND;46663;0;343;66;0.88%;409;Kärnten;0.007350578;0.008764974
Volksbegehren Demokratie Jetzt!;SANKT VEIT AN DER GLAN;45330;0;252;39;0.64%;291;Kärnten;0.005559232;0.00641959
Volksbegehren Demokratie Jetzt!;SPITTAL AN DER DRAU;62172;3;344;46;0.63%;390;Kärnten;0.005581291;0.006321174
Volksbegehren Demokratie Jetzt!;VILLACH LAND;57557;1;275;53;0.57%;328;Kärnten;0.004795246;0.005716073
Volksbegehren Demokratie Jetzt!;VÖLKERMARKT;33695;1;191;18;0.62%;209;Kärnten;0.005698175;0.006232379
Volksbegehren Demokratie Jetzt!;WOLFSBERG;43750;0;171;11;0.42%;182;Kärnten;0.003908571;0.00416
Volksbegehren Demokratie Jetzt!;FELDKIRCHEN;24271;0;131;8;0.57%;139;Kärnten;0.005397388;0.005726999
Volksbegehren Demokratie Jetzt!;KREMS AN DER DONAU STADT;18503;0;148;29;0.96%;177;Niederösterreich;0.007998703;0.009566016
Volksbegehren Demokratie Jetzt!;SANKT PÖLTEN STADT;38974;0;375;57;1.11%;432;Niederösterreich;0.009621799;0.011084313
Volksbegehren Demokratie Jetzt!;WAIDHOFEN AN DER YBBS;9043;0;82;23;1.16%;105;Niederösterreich;0.009067787;0.011611191
Volksbegehren Demokratie Jetzt!;WIENER NEUSTADT STADT;30664;1;210;44;0.83%;254;Niederösterreich;0.006881033;0.008315941
Volksbegehren Demokratie Jetzt!;AMSTETTEN;89468;4;598;111;0.79%;709;Niederösterreich;0.006728663;0.00796933
Volksbegehren Demokratie Jetzt!;BADEN;103467;6;1005;237;1.20%;1242;Niederösterreich;0.009771231;0.012061817
Volksbegehren Demokratie Jetzt!;BRUCK AN DER LEITHA;33014;1;232;42;0.83%;274;Niederösterreich;0.007057612;0.008329799
Volksbegehren Demokratie Jetzt!;GÄNSERNDORF;75462;1;472;77;0.73%;549;Niederösterreich;0.006268055;0.007288437
Volksbegehren Demokratie Jetzt!;GMÜND;31572;0;153;35;0.60%;188;Niederösterreich;0.004846066;0.005954643
Volksbegehren Demokratie Jetzt!;HOLLABRUNN;41141;0;239;51;0.70%;290;Niederösterreich;0.00580929;0.007048929
Volksbegehren Demokratie Jetzt!;HORN;25978;1;133;33;0.64%;166;Niederösterreich;0.005158211;0.006428516
Volksbegehren Demokratie Jetzt!;KORNEUBURG;59214;2;486;107;1.00%;593;Niederösterreich;0.008241294;0.010048299
Volksbegehren Demokratie Jetzt!;KREMS AN DER DONAU LAND;45660;0;262;64;0.71%;326;Niederösterreich;0.005738064;0.007139728
Volksbegehren Demokratie Jetzt!;LILIENFELD;20791;0;127;31;0.76%;158;Niederösterreich;0.006108412;0.007599442
Volksbegehren Demokratie Jetzt!;MELK;61306;2;359;127;0.79%;486;Niederösterreich;0.005888494;0.007960069
Volksbegehren Demokratie Jetzt!;MISTELBACH;60320;3;409;69;0.79%;478;Niederösterreich;0.006830239;0.007974138
Volksbegehren Demokratie Jetzt!;MÖDLING;87433;4;1184;305;1.70%;1489;Niederösterreich;0.013587547;0.017075932
Volksbegehren Demokratie Jetzt!;NEUNKIRCHEN;68111;0;481;78;0.82%;559;Niederösterreich;0.007062002;0.008207191
Volksbegehren Demokratie Jetzt!;SANKT PÖLTEN LAND;77171;0;656;118;1.00%;774;Niederösterreich;0.008500603;0.010029674
Volksbegehren Demokratie Jetzt!;SCHEIBBS;33160;0;225;33;0.78%;258;Niederösterreich;0.006785283;0.007780458
Volksbegehren Demokratie Jetzt!;TULLN ;55874;0;462;115;1.03%;577;Niederösterreich;0.008268604;0.010326807
Volksbegehren Demokratie Jetzt!;WAIDHOFEN AN DER THAYA;22585;1;106;24;0.58%;130;Niederösterreich;0.004737658;0.00580031
Volksbegehren Demokratie Jetzt!;WIENER NEUSTADT LAND;57001;4;364;48;0.72%;412;Niederösterreich;0.006456027;0.007298118
