unique-id;" ""year""";importing-country;exporting-country;CML-category;num-licenses-imported;val-licenses-imported;val-arms-imported;total-eu-licenses-refusals-imported;criteria-numbers-imported
1;2006;Canada;Italy;Total;10;7062581;3970600;;
2;2006;Canada;Czech Republic;ML3;2;189000;20000;;
3;2006;Canada;Czech Republic;ML1;7;345000;76000;;
4;2006;Canada;Czech Republic;Total;9;534000;96000;;
5;2006;Canada;France;ML15;;;75556;;
6;2006;Canada;France;Total;74;101211430;25252840;;
7;2006;Canada;France;ML10;;;22425577;;
8;2006;Canada;France;ML11;;;4904;;
9;2006;Canada;France;ML2;;;679537;;
10;2006;Canada;France;ML3;;;255734;;
11;2006;Canada;France;ML4;;;385978;;
12;2006;Canada;France;ML5;;;171151;;
13;2006;Canada;France;ML8;;;5344;;
14;2006;Canada;France;ML9;;;1249059;;
15;2006;Canada;Ireland;ML1;1;3400;3400;;
16;2006;Canada;Ireland;ML6;4;1142471;469888;;
17;2006;Canada;Ireland;ML4;1;4530;4435;;
18;2006;Canada;Ireland;Total;6;1150401;477723;;
19;2006;Canada;Germany;ML14;1;35300;;;
20;2006;Canada;Germany;ML15;13;2983868;;;
21;2006;Canada;Germany;ML16;20;2798525;;;
22;2006;Canada;Germany;ML17;4;6416;;;
23;2006;Canada;Germany;ML10;17;12463310;;;
24;2006;Canada;Germany;ML11;6;31444;;;
25;2006;Canada;Germany;ML13;4;13970;;;
26;2006;Canada;Germany;ML21;3;130098;;;
27;2006;Canada;Germany;ML18;6;410902;;;
28;2006;Canada;Germany;ML22;8;578787;;;
29;2006;Canada;Germany;ML2;6;109683;;;
30;2006;Canada;Germany;ML3;15;176937;;;
31;2006;Canada;Germany;ML1;244;2219198;;;
32;2006;Canada;Germany;ML6;53;28455378;;;
33;2006;Canada;Germany;ML7;11;23221;;;
34;2006;Canada;Germany;ML4;5;1023177;;;
35;2006;Canada;Germany;ML5;5;136022;;;
36;2006;Canada;Germany;ML8;17;340972;;;
37;2006;Canada;Germany;ML9;4;10800;;;
38;2006;Canada;Germany;Total;442;51948008;1992000;;
39;2006;Canada;Belgium;Total;47;3478624;6627478;;
40;2006;Canada;Spain;ML1;;;67012;;
41;2006;Canada;Spain;ML4;;;1031850;;
42;2006;Canada;Spain;Total;9;1485631;1098862;;
43;2006;Canada;Netherlands;ML2;1;274001;275226;;
44;2006;Canada;Netherlands;ML6;1;126007;;;
45;2006;Canada;Netherlands;Total;4;31699563;1405350;;
46;2006;Canada;Netherlands;ML10;1;150000;;;
47;2006;Canada;Netherlands;ML5;1;31149555;1130124;;
48;2006;Canada;Denmark;ML21;1;46923;;;
49;2006;Canada;Denmark;Total;2;717245;;;
50;2006;Canada;Denmark;ML10;1;670322;;;
51;2006;Canada;Poland;ML3;1;656201;;;
52;2006;Canada;Poland;ML16;1;207349;;;
53;2006;Canada;Poland;Total;14;5267071;;;
54;2006;Canada;Poland;ML10;11;4293008;;;
55;2006;Canada;Poland;ML22;1;110513;;;
56;2006;Canada;Finland;ML3;3;421700;38894;;
57;2006;Canada;Finland;ML1;4;447669;66035;;
58;2006;Canada;Finland;ML10;1;32900;32900;;
59;2006;Canada;Finland;Total;8;902269;137829;;
60;2006;Canada;Sweden;ML14;2;;;;
61;2006;Canada;Sweden;ML2;4;;;;
62;2006;Canada;Sweden;ML8;1;;;;
63;2006;Canada;Sweden;Total;12;11566921;12687704;;
64;2006;Canada;Sweden;ML3;5;;;;
65;2006;Canada;United Kingdom;ML14;1;9750;;;
66;2006;Canada;United Kingdom;ML15;8;267186;;;
67;2006;Canada;United Kingdom;ML16;4;136772;;;
68;2006;Canada;United Kingdom;Total;253;12771698;;;
69;2006;Canada;United Kingdom;ML10;19;5264708;;;
70;2006;Canada;United Kingdom;ML11;16;380085;;;
71;2006;Canada;United Kingdom;ML13;1;22500;;;
72;2006;Canada;United Kingdom;ML21;5;193980;;;
73;2006;Canada;United Kingdom;ML18;9;50901;;;
74;2006;Canada;United Kingdom;ML22;13;48;;;
75;2006;Canada;United Kingdom;ML2;16;150414;;;
76;2006;Canada;United Kingdom;ML3;4;2925;;;
77;2006;Canada;United Kingdom;ML1;94;378328;;;
78;2006;Canada;United Kingdom;ML6;14;1315371;;;
79;2006;Canada;United Kingdom;ML7;12;157874;;;
80;2006;Canada;United Kingdom;ML4;25;3696087;;;
81;2006;Canada;United Kingdom;ML5;8;724401;;;
