Year,Column,"ML1 – Smooth-bore weapons with a calibre of less than 20 mm, other arms and automatic weapons with a calibre of 12,7 mm (calibre 0,50 inches) or less and accessories, and specially designed components therefor","ML2 – Smooth-bore weapons with a calibre of 20 mm or more, other weapons or armament with a calibre greater than 12,7 mm (calibre 0,50 inches), projectors and accessories, and specially designed components therefor","ML3 – Ammunition and fuse setting devices, and specially designed components therefor","ML4 – Bombs, torpedoes, rockets, missiles, other explosive devices and charges and related equipment and accessories, and specially designed components therefor","ML5 – Fire control, and related alerting and warning equipment, and related systems, test and alignment and countermeasure equipment, specially designed for military use, and specially designed components and accessories therefor",ML6 – Ground vehicles and components,"ML7 – Chemical or biological toxic agents, ‘riot control agents’, radioactive materials, related equipment, components and materials","ML8 – ‘Energetic materials’, and related substances","ML9 – Vessels of war, (surface or underwater) special naval equipment, accessories, components and other surface vessels","ML10 – ‘Aircraft’, ‘lighter than air vehicles’, unmanned aerial vehicles, aero-engines and ‘aircraft’ equipment, related equipment and components, specially designed or modified for military use","ML11 – Electronic equipment, not specified elsewhere on the EU Common Military List, and specially designed components therefor","ML12 – High velocity kinetic energy weapon systems and related equipment, and specially designed components therefor","ML13 – Armoured or protective equipment, constructions and components","ML14 – Specialised equipment for military training or for simulating military scenarios, simulators specially designed for training in the use of any firearm or weapon specified by ML1 or ML2, and specially designed components and accessories therefor","ML15 – Imaging or countermeasure equipment, specially designed for military use, and specially designed components and accessories therefor","ML16 – Forgings, castings and other unfinished products the use of which in a specified product is identifiable by material composition, geometry or function, and which are specially designed for any products specified by ML1 to ML4, ML6, ML9, ML10, ML12 or ML19","ML17 – Miscellaneous equipment, materials and ‘libraries’, and specially designed components therefor",ML18 – Production equipment and components of products referred to in the EU Common Military List,"ML19 – Directed energy weapon systems (DEW), related or countermeasure equipment and test models, and specially designed components therefor","ML20 – Cryogenic and ‘superconductive’ equipment, and specially designed components and accessories therefor","ML21 – ‘Software’ specially designed or modified for the ‘development’, ‘production’‘use’ of equipment or materials controlled by the EU Common Military List","ML22 – 'Technology’ for the ‘development’, ‘production’ or ‘use’ of items controlled in the EU Common Military List",Total
2013,number of licences issued,958,18,214,31,20,261,2,9,12,4,1,5,46,8,6,24,35,291,,,5,27,1977
2013,value of licences issued in Euros,388340233,2590574,82026475,2307369,4169598,1770554406,1668000,3726,1472607,409607,694000,15102300,5382361,19250155,3223661,12094196,26300675,21003552,,,736875,16520127,2373850497
2013,value of arms exports in Euros,207101749,1014204,35463099,3569106,2191824,249683562,18000,2935,114598,199453,,399168,1530911,10463994,1424821,2366647,1667012,10456655,,,,263198,527930936
2013,total EU number of licence refusals,,,,,,,,,,,,,,,,,,,,,,,
2013,criteria numbers on which refusals are based,,,,,,,,,,,,,,,,,,,,,,,
2012,number of licences issued,815,11,199,21,11,149,8,,,3,1,,15,13,5,,31,57,,,1,8,1348
2012,value of licences issued in Euros,302939020,240089,60473238,15336062,3097594,1100837497,145647,,,76620,1050,,1752396,5986702,5939318,,28366083,1126800,,,500000,27651490,1554469606
2012,value of arms exports in Euros,205352533,8877253,59032602,11671079,1154594,160468710,145647,,,76620,714623,,729549,1486937,1100000,,2936425,898990,,,,,454645562
2012,total EU number of licence refusals,11,,,,,,,,,,,,,,,,,,,,,,11
2012,criteria numbers on which refusals are based,1(1); 2(6); 3(3); 4(2); 6(2); 7(5),,,,,,,,,,,,,,,,,,,,,,1(1); 2(6); 3(3); 4(2); 6(2); 7(5)
2011,number of licences issued,889,12,187,31,13,135,14,,,5,9,,18,4,5,1,4,88,,,2,19,1436
2011,value of licences issued in Euros,189450988,12972129,64377140,21765608,28524926,1244118162,273663,,,4795602,12224439,,1921191,5586152,4392630,978000,1264672,1473750,,,1000000,37046212,1632165264
2011,value of arms exports in Euros,260108976,3873253,33989746,3973712,2708124,108715804,273368,,,4829102,3906138,,886482,1391465,2817371,905230,275289,1138217,,,,36600,429828877
2011,total EU number of licence refusals,9,,,,,,,,,,,,,,,,,,,,,,9
2011,criteria numbers on which refusals are based,1(1); 2(3); 3(2); 4(1); 6(2); 7(8),,,,,,,,,,,,,,,,,,,,,,1(1); 2(3); 3(2); 4(1); 6(2); 7(8)
2010,number of licences issued,1261,51,252,14,7,128,7,3,,4,7,,15,2,4,,4,134,,,,14,1907
2010,value of licences issued in Euros,207770833,15300192,59487728,13465771,26902845,1363847564,70895,944000,,3468142,18373359,,3179468,5584476,2511025,,1246783,3950231,,,,42216742,1768320054
2010,value of arms exports in Euros,132042254,11037920,68735208,6321834,3179345,135438261,60895,49728,,,7903488,2380692,1541331,,304000,,250566,3335486,,,,49500,372630508
2010,total EU number of licence refusals,39,,2,,,,,,,,,,,,,,,,,,,,41
2010,criteria numbers on which refusals are based,"2(9) 3(2)
 4(16) 6(5)
 7(37)",,"3(1) 4(1)
 7(2)",,,,,,,,,,,,,,,,,,,,"2(9) 3(3)
 4(17) 6(5)
 7(39)"
2009,number of licences issued,854,46,257,16,15,126,1,8,1,1,,1,14,1,3,2,4,138,2,,,26,1516
2009,value of licences issued in Euros,171751305,10639555,129089832,40160038,5255709,1725869465,10000,1551124,9350,1400000,,7580920,7505878,90086416,3105041,222195,5102383,1529159,22649175,,,26042787,2249560332
2009,value of arms exports in Euros,130589732,5477237,80944402,999736,4322206,112775042,,194411,,,,18555,4822897,,,222195,1049082,1479705,2487248,,,2669084,348051532
2008,number of licences issued,1326,8,247,6,13,51,1,3,,1,4,1,3,3,3,,,170,,,,10,1850
